,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
44,EDEKA Struve,4.2,(557),Supermarket,Hamburg,hamburg,Germany,,+49 40 345317,https://edeka-struve.de/de/Marktdetailseite/Schlemmer-Markt-Struve-im-Hanse-Viertel-1
46,ESCADA,3.4,(11),Clothing store,Hamburg,hamburg,Germany,,+49 40 363296,https://www.escada.com/de
47,Edeka Struve - Großer Burstah,4.0,(590),Supermarket,Hamburg,hamburg,Germany,,+49 40 364737,http://www.edeka-struve.de/
60,Edition Contra-Bass UG (haftungsbeschränkt),,,Publisher,Hamburg,hamburg,Germany,,,http://www.contra-bass.de/
43,Elbphilharmonie Hamburg,4.6,"(44,376)",Concert hall,Hamburg,hamburg,Germany,,+49 40 3576660,https://www.elbphilharmonie.de/de/
56,Falk Fetzer,0,0,Computer consultant,Hamburg,hamburg,Germany,,+49 172 3715489,http://falkfetzer.de/
3,Frau Barbara Dietrich,0,0,Doctor,Hamburg,hamburg,Germany,,+49 40 4227834,http://www.psychotherapie-dietrich.de/
84,Frau Martina Heuer,,,Alternative medicine practitioner,Hamburg,hamburg,Germany,,+49 40 4201950,http://www.martinaheuer.de/
22,Friends od SoYA Singer e.V.,,,,Hamburg,hamburg,Germany,,,
12,Gerd Singer,0,0,,Hamburg,hamburg,Germany,,+49 40 6554563,
20,Günter Singer,,,Insurance company,Hamburg,hamburg,Germany,,+49 40 6474442,
57,Hamburg,,,,,hamburg,Germany,,,
6,Hamburger Nähmaschinen-Haus,4.4,(23),Sewing machine store,Hamburg,hamburg,Germany,,+49 40 247025,http://www.naehmaschinen.de/
27,Hanseatic Musikverlag GmbH & Co. KG,0,0,Music store,Hamburg,hamburg,Germany,,+49 40 4418020,http://www.warnerchappell.com/
32,Harlem Street Singer,0,0,,Hamburg,hamburg,Germany,,+49 40 4107166,http://www.harlemstreetsinger.com/contact/
35,Heidi Karlsson,0,0,Artist,Hamburg,hamburg,Germany,,+49 40 20975555,http://www.heidi-karlsson.com/sv/kontakt/
58,Herr Dr. Clemens Vogelmann,,,Dentist,Hamburg,hamburg,Germany,,+49 40 4201930,http://www.dr-vogelmann.de/
64,Herr Prof. Dr. Rene Santer,,,Pediatrician,Hamburg,hamburg,Germany,,+49 40 741058386,https://www.uke.de/kliniken-institute/kliniken/kinder-und-jugendmedizin/%C3%BCber-die-klinik/team/rene-santer.html
7,Herr Prof. Dr. med. Dominique Singer,0,0,Neonatal physician,Hamburg,hamburg,Germany,,+49 40 741052723,https://www.uke.de/kliniken-institute/zentren/perinatalzentrum/ueber-das-zentrum/team/arztprofil_singer.html
62,Herr Prof. Dr. med. Dr. med. habil. Jochen Weil,,,Doctor,Hamburg,hamburg,Germany,,+49 40 741053718,https://www.uke.de/kliniken-institute/kliniken/kinderkardiologie/%C3%BCber-die-klinik/team/arztfinder_detailseite_olfe.html
73,Herr Prof. Dr. med. Markus Kemper,,,Doctor,Hamburg,hamburg,Germany,,+49 40 741051200,https://www.kfh.de/
65,Kai Tietz Agentur der Photographen,,,Talent agency,Hamburg,hamburg,Germany,,+49 40 38038130,http://www.kaitietz.de/
59,Kieferorthopäde,,,Doctor,Hamburg,hamburg,Germany,,,
75,Klavierlehrer in Hamburg,,,Information services,Hamburg,hamburg,Germany,,,http://klavierlehrer.hamburg/
77,Knust,4.5,"(1,136)",Live Music,Hamburg,hamburg,Germany,,+49 40 87976230,https://knusthamburg.de/
15,Konrad Singer,0,0,Publisher,Hamburg,hamburg,Germany,,+49 40 598226,
36,Larissa Bertonasco,0,0,Artist,Hamburg,hamburg,Germany,,+49 40 65868358,http://bertonasco.de/
28,Lisa Schreiter,0,0,Artist,Hamburg,hamburg,Germany,,+49 162 7715846,http://singing-out-of.love/
76,Marcel Schaar,0,0,,Hamburg,hamburg,Germany,,+49 40 42107703,https://www.marcel-schaar.de/
11,Marek Singer,0,0,Tile contractor,Hamburg,hamburg,Germany,,+49 40 894193,http://www.fenster-singer.de/8-firmen-daten
45,Maschenproben,,,Knit shop,Hamburg,hamburg,Germany,,+49 40 438438,https://www.maschenproben.de/
18,Nina Alexandr,0,0,Artist,Hamburg,hamburg,Germany,,,http://nina-alexandra-singer.com/
0,Nähmaschinen Czerr- Nähmaschinenmeister Pfaff-Singer- Brother-Husqvarna-Juki,4.7,(7),Sewing machine store,Hamburg,hamburg,Germany,,+49 40 7654611,http://www.naehmaschinen-czerr.de/
14,Nähmaschinen Technik Michel,4.6,(21),Sewing machine repair service,Hamburg,hamburg,Germany,,,https://www.naehmaschinen-hamburg.de/
40,Nähnah- Nähmaschinen Werkstatt,4.7,(14),Sewing machine repair service,Norderstedt,hamburg,Germany,,+49 176 20295662,http://www.sewgood.de/
19,Nähprofi - Wer näht kennt Fred. Fred Lange der Nähmaschinenprofi.,4.7,(93),Sewing machine store,Rellingen,hamburg,Germany,,+49 4101 8520310,https://naehprofi.com/
74,ONE MAN ROCK,,,Band,Hamburg,hamburg,Germany,,,http://onemanrock.band/
37,Operettenhaus,4.6,"(4,753)",Performing arts theater,Hamburg,hamburg,Germany,,+49 180 5 4444 ·,https://www.stage-entertainment.de/musicals-shows/tina-hamburg.html
53,PEAC (Germany) GmbH,2.3,(3),Investment service,Hamburg,hamburg,Germany,,+49 40 236260,https://www.peacfinance.de/
71,Palm Boat Music,0,0,Band,Hamburg,hamburg,Germany,,+49 1514 1932207,http://palmboatmusic.com/
42,Pony Bar,4.4,(192),Cafe,Hamburg,hamburg,Germany,,+49 40 87090417,http://www.ponybar.com/
66,Prof. Dr. med. Stefan Blankenberg,5.0,(1),Doctor,Hamburg,hamburg,Germany,,+49 40 741056800,http://www.uke.de/
52,REME Rechtsanwälte,3.0,(2),Attorney,Hamburg,hamburg,Germany,,+49 40 3252990,https://reme.de/
21,SINGER Reisen & Versicherungen,5.0,(1),Insurance broker,Hamburg,hamburg,Germany,,+49 40 6048453,https://singer-reisen-versicherungen.de/
54,"STOFF & STIL, Hamburg",4.4,(105),Fabric store,Halstenbek,hamburg,Germany,,+49 4101 6019050,https://www.stoffundstil.de/?utm_medium=referral&utm_source=googlemybusiness&utm_campaign=gmb-profile-button
49,STORMARN SINGERS,5.0,(1),Musical club,Großhansdorf,hamburg,Germany,,+49 4102 9821829,http://www.stormarn-singers.de/
17,Sabine Singer Rechtsanwältin,0,0,Attorney,Hamburg,hamburg,Germany,,+49 40 6779933,
8,Schallzentrale Hamburg,0,0,Recording studio,Hamburg,hamburg,Germany,,+49 40 18887918,http://www.schallzentrale.de/
10,"Schinke Nähmaschinen, Verkauf und Reparatur",4.3,(28),Sewing machine store,Hamburg,hamburg,Germany,,+49 40 5510760,http://www.schinke-naehmaschinen.de/
30,Singer Consulting,,,,Hamburg,hamburg,Germany,,+49 40 75290329,http://singer-consulting.com/kontakt.html
9,Singer Preisprüfung GmbH,0,0,Business management consultant,Hamburg,hamburg,Germany,,+49 40 6957304,https://www.singer-preispruefung.de/
83,Slamville,,,Festival,Hamburg,hamburg,Germany,,,https://www.kopfundsteine.de/portfolio-item/slamville/
25,Songs Karaoke Bar,3.9,(62),Karaoke bar,Hamburg,hamburg,Germany,,+49 40 87089788,https://songs-karaoke-bar.business.site/
81,Stadtveränderer,4.5,(2),Coworking space,Hamburg,hamburg,Germany,,+49 40 32530163,http://www.stadtveraenderer.de/
39,Sängerin Pia Tietz / Pia Rose Music,5.0,(24),Musician,,hamburg,Germany,,+49 40 78807425,http://piarosemusic.de/
78,THEATER MIT FREUNDEN,,,Event management company,Hamburg,hamburg,Germany,,+49 40 23808562,http://theatermitfreunden.de/
80,The Lismones,,,Corporate office,,hamburg,Germany,,,https://www.lismones.de/the-lismones/
61,Till Reimann,,,Dentist,Hamburg,hamburg,Germany,,+49 40 25333690,https://www.zahnaerztecitysued.de/
26,Trevor Pichanick Tenor,,,Artist,Hamburg,hamburg,Germany,,+49 40 68879959,https://www.trevorpichanick.com/
41,Tuberecords Tonstudio Hamburg,4.8,(5),Recording studio,Hamburg,hamburg,Germany,,+49 40 64537378,http://www.tuberecords.de/
67,Uli Kringler,,,,Hamburg,hamburg,Germany,,+49 40 346928,https://ulikringler.de/bio/
82,"VW, Audi, Skoda & VW Nutzfahrzeuge Verkauf & Service | Senger Holstein GmbH",4.1,(195),Auto repair shop,Bad Oldesloe,hamburg,Germany,,+49 4531 89990,https://www.auto-senger.de/bad-oldesloe/?utm_source=Yext&utm_medium=Standorteintrag-&utm_campaign=NN&utm_term=&utm_content=
16,Vivie Ann,0,0,Musician,Hamburg,hamburg,Germany,,,http://vivieann.com/
31,Xenia Afonina,0,0,Artist,Hamburg,hamburg,Germany,,,http://xenia-music.com/
2,"Zahnarzt, Waldemar Singer",4.3,(4),Doctor,Hamburg,hamburg,Germany,,+49 40 2542371,
55,Zahnärzte City-Süd,4.3,(8),Dentist,Hamburg,hamburg,Germany,,+49 40 25333690,http://www.zahnaerztecitysued.de/
63,anthronet UG,,,Internet marketing service,Hamburg,hamburg,Germany,,+49 40 228219200,http://anthronet.de/
68,reise24 erlebniscenter,,,Travel agency,Hamburg,hamburg,Germany,,+49 40 39806666,http://reise24.net/
