,Firmenname / COMPANY NAME,rating,Branche / INDUSTRY,Strasse / Street,PostalCode,Stadt / City,Land / COUNTRY,HOURS,phone_number,website,email
11,Burg & Schild Redwing Textil- & Schuhwaren,[],Textilwaren,Rosa‑Luxenburg‑Str. 3,10178,berlin,Germany,schließt um 19:00,(030) 24 63 05 01,http://www.burgundschild.com,https://www.gelbeseiten.de/gsbiz/a1410257-5b4b-4032-bce1-a10a14df5e5b#email-schreiben
12,Caner Textil Textilhandel,2.0,Textilwaren,Schillerstr. 65,10627,berlin,Germany,,(030) 34 62 87 54,[],[]
13,Cesaria Textilhandel GmbH,[],Textilwaren,Mariendorfer Damm 1,12099,berlin,Germany,,(030) 70 20 95 73,[],[]
14,Chic & Charmant,[],Textilwaren,Kirchstr. 5,14641,berlin,Germany,öffnet Montag um 09:00,(03321) 4 88 88,[],[]
15,Closed,[],Textilwaren,Budapester Str 28‑50,10787,berlin,Germany,schließt um 20:00,(030) 26 36 93 85,http://www.closed.com,https://www.gelbeseiten.de/gsbiz/4fbbc83d-e982-4e92-8cdf-2a73589c16ba#email-schreiben
16,Closed by 14oz,[],Textilwaren,Alte Schönhauser Str. 32B,10178,berlin,Germany,schließt um 20:00,(030) 25 76 08 76,https://www.closed.com/,mailto:shop.berlinmitte@closed.com?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
17,Dekoria GmbH Heimtextilhandel,[],Textilwaren,Bundesplatz 8,10715,berlin,Germany,öffnet Montag um 07:00,(030) 5 55 78 32 80,http://www.dekoria.de,https://www.gelbeseiten.de/gsbiz/45c540c6-346b-4e57-b2bc-e62a6955aed4#email-schreiben
18,Dipl.-Ing. Rolf Hegenbart Raumausstattermeister,[],Raumausstattung,Seematen 8,14532,berlin,Germany,öffnet Montag um 10:00,(033203) 2 46 00,http://www.raumausstatter-rolf-hegenbart.de,mailto:rolfhegenbart@t-online.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
19,Domke & Zechlin GbR Einzelhandel für Textilien,[],Textilwaren,Kemnitzer Str. 56,14542,berlin,Germany,,(03327) 5 20 33 94,http://www.myrebella.de,https://www.gelbeseiten.de/gsbiz/a7734e41-6ea7-4bee-a714-f82e2ddc506e#email-schreiben
20,Dossow Doris mobiler Textilhandel,[],Textilwaren,Am Fichtenberg 14,14552,berlin,Germany,,(033205) 4 50 30,[],[]
21,"Eichelbaum Sigrid Textilien-, Kurz- u.Schreibwaren",[],Textilwaren,Käthe‑Kollwitz‑Str. 16,14943,berlin,Germany,,(03371) 63 09 43,http://www.deutschepost.de/,https://www.gelbeseiten.de/gsbiz/f448c58e-4e0c-4114-a16b-1869a9138114#email-schreiben
22,Euro Price Talay,[],Textilwaren,Königsheideweg 9,12437,berlin,Germany,schließt um 16:00,(030) 78 89 43 40,http://www.europrice-talay.de,mailto:info@europrice-talay.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
23,F&P Stock Solution GmbH,[],Textilwaren,Straße der Einheit 142‑148,14612,berlin,Germany,,(03322) 4 26 55 66,http://www.schuhverwerter.de,mailto:info@stock-solution.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
24,Fashion FC Club GmbH,[],Textilwaren,Babelsberger Str. 16,14473,berlin,Germany,schließt um 20:00,(0331) 87 09 51 82,http://www.myfashionclub.com,https://www.gelbeseiten.de/gsbiz/9bc1c391-7688-498b-ada2-72812f2c4e65#email-schreiben
25,Ferdinand Dameris GmbH & Co KG Textilwaren,[],Textilwaren,Bergholzstr. 2,12099,berlin,Germany,,(030) 66 06 87-0,http://www.dameris.de,https://www.gelbeseiten.de/gsbiz/4e9893f6-e3b3-4ba0-85b9-274a7573c78e#email-schreiben
26,For Kings and Queens Textilhandels GmbH Textilwaren,[],Textilwaren,Zossener Str. 32,10961,berlin,Germany,,(030) 62 73 68 59,[],[]
27,Frottana-Textil GmbH & Co. KG Textilwaren,[],Textilwaren,Kaiser‑Friedrich‑Str. 90,10585,berlin,Germany,,(030) 3 43 83 92-0,http://www.moeve.de/,https://www.gelbeseiten.de/gsbiz/f0ed6c3c-b973-439b-84f6-21b891f92197#email-schreiben
28,Frottier-Center Textilwaren,[],Textilwaren,Steglitzer Damm 96A,12169,berlin,Germany,,(030) 72 32 37 77,[],[]
29,G-Star Raw Textilwaren,[],Bekleidung,Grunerstr. 20,10179,berlin,Germany,schließt um 21:00,(030) 24 08 31 51,http://www.g-star.com,https://www.gelbeseiten.de/gsbiz/a1e6db55-3e9a-4398-b343-24267db4fd78#email-schreiben
30,GSE Texprint solutions GmbH Textilwaren,[],Textilwaren,Kablower Weg 89,12526,berlin,Germany,,(030) 89 73 23 20,http://texprint-solutions.com,https://www.gelbeseiten.de/gsbiz/0b9ed4aa-3721-4f14-a277-876194feb83b#email-schreiben
31,Gant Store,[],Textilwaren,Budapester Str. 44,10178,berlin,Germany,,(030) 26 55 74 47,[],[]
32,Gerry Weber International,[],Textilwaren,Sterncenter,14480,berlin,Germany,schließt um 21:00,(0331) 60 03 35 94,http://www.house-of-gerryweber.de,https://www.gelbeseiten.de/gsbiz/1bae2d33-a2e5-4e08-a7b9-6516d02b6457#email-schreiben
33,Gina Laura,[],Textilwaren,Döberitzer Weg 5,14624,berlin,Germany,schließt um 21:00,(03322) 2 29 25,http://www.gina-laura.com/de/,mailto:info@gina-laura.com?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
34,Heibuch Helga & Andreas G.b.r. Textilhaus Heibuch,[],Textilwaren,Berliner Str. 103a,15537,berlin,Germany,schließt um 12:30,(03362) 88 21 42,[],[]
35,Hoffmann Textilhandel GmbH,[],Textilwaren,Chausseestr. 1,15745,berlin,Germany,,(03375) 50 01 14,[],[]
36,House of Gerry Weber,[],Textilwaren,Schloßstr. 15,12163,berlin,Germany,schließt um 20:00,(030) 75 65 01 60,http://www.house-of-gerryweber.de,https://www.gelbeseiten.de/gsbiz/38af9da4-0a0a-404f-aba4-857f32c193a8#email-schreiben
37,Husky Team Berlin GmbH Textilwaren,[],Textilwaren,Urbanstr. 131,10967,berlin,Germany,schließt um 18:00,(030) 55 95 76 94,http://www.husky-berlin.de,https://www.gelbeseiten.de/gsbiz/a79503a0-4588-4206-99a6-147109af1c3f#email-schreiben
38,Höffe Textilhandelsgesellschaft mbH Textilwaren,[],Textilwaren,Wickramstr. 24,14089,berlin,Germany,,(030) 36 80 18 56,http://www.hoeffetextil.de,https://www.gelbeseiten.de/gsbiz/6f20b855-035c-419f-825d-78b9b95e2131#email-schreiben
39,Jeans World Textilwarenhandel,[],Textilwaren,Am Müggelpark 10‑12,15537,berlin,Germany,,(03362) 88 17 19,[],[]
40,Johann Borgers Berlin GmbH & Co.KG Automobilzulieferer,[],Textilwaren,Nüßlerstr. 14‑23,13088,berlin,Germany,,(030) 92 70 14-0,http://www.borgers.de,https://www.gelbeseiten.de/gsbiz/ec5de64a-6615-461a-8a98-a950f8fe89e8#email-schreiben
41,KETU Fashion & Home Bekleidung,[],Bekleidung,Tamara‑Danz‑Str. 11,10243,berlin,Germany,schließt um 21:00,(0173) 2 32 22 68,https://www.ketu-fashion.de,https://www.gelbeseiten.de/gsbiz/76e4cb4c-6cfb-4c52-83f8-e1ab18b8ed7b#email-schreiben
42,Ketu Fashion & Home,4.2000003,Bekleidung,Chausseestr. 1,15745,berlin,Germany,schließt um 21:00,(03375) 5 26 16 00,[],[]
43,KiK Textilien und Non-Food GmbH,[],Textilwaren,Stromstr. 11 ‑17,10551,berlin,Germany,schließt um 20:00,[],https://www.kik.de/,[]
44,Kiel Tobias Stoneborn.com,[],Textilwaren,August‑Bebel‑Str. 48,15344,berlin,Germany,schließt um 16:00,(03341) 30 37 30,[],[]
45,Kik Textilien und nonfood Gmbh,[],Textilwaren,Breite Str. 25+27,14467,berlin,Germany,schließt um 20:00,(0331) 9 67 89 69,http://www.kik-textilien.com,[]
46,L. N. Handelsgesellschaft mbH,[],Textilwaren,Hermann‑Elflein‑Str. 15,14467,berlin,Germany,,(0331) 2 80 49 59,[],[]
47,Levy Günter TextilVertr.,[],Textilwaren,Richterstr. 46,12105,berlin,Germany,,(030) 8 52 54 56,[],[]
48,Londoner - Mehmet Mutluer,[],Textilwaren,Badstr. 14,13357,berlin,Germany,schließt um 20:00,(030) 49 00 48 41,http://www.restposten-aus-london.de,https://www.gelbeseiten.de/gsbiz/17f0eca5-52e7-4178-9b32-e87acc4b4f76#email-schreiben
49,MEXX,[],Textilwaren,Sterncenter,14480,berlin,Germany,schließt um 21:00,(0331) 5 05 68 04,http://www.pt-concept-stores.de,https://www.gelbeseiten.de/gsbiz/6d90dca3-58ce-47cd-ac7a-e79ba621a6be#email-schreiben
50,Maak Bernd und Doris Dipl.-Ing.,[],Textilwaren,Kölner Str. 91,14542,berlin,Germany,,0152 01 74 81 09,[],[]
51,"Maak Bernd, Doris Dipl.-Ing.",[],Textilwaren,Kölner Str. 91,14542,berlin,Germany,,(03327) 73 15 58,[],[]
52,Mary's Naturmode Inh: Mary Schreiber,5.0,Textilwaren,Friedrich‑Ebert‑Str. 2,16225,berlin,Germany,öffnet Montag um 10:00,(03334) 38 92 00,[],[]
53,Mini Donno GmbH Textilwaren,[],Textilwaren,Karl‑Marx‑Str. 160,12043,berlin,Germany,,(030) 68 97 58 53,[],[]
54,Mode-Express Textilhandelsges.,[],Textilwaren,Große Str. 11,15344,berlin,Germany,,(03341) 3 00 69 50,[],[]
55,Modeexpress Textilhandels GmbH,[],Textilwaren,Herrenseeallee 15,15344,berlin,Germany,schließt um 20:00,(03341) 30 57 19,[],[]
56,"Mr. & Mrs. Peppers Textilwaren, Einzelhandel",[],Boutiquen,Kastanienallee 91‑92,10435,berlin,Germany,,(030) 4 48 11 21,https://mrandmrspeppers.de,https://www.gelbeseiten.de/gsbiz/c60f26f4-302f-4862-b8a7-15c3c1125fb6#email-schreiben
57,Murkudis Andreas,[],Textilwaren,Potsdamer Str. 81E,10785,berlin,Germany,schließt um 20:00,(030) 6 80 79 83 06,http://www.andreasmurkudis.com,https://www.gelbeseiten.de/gsbiz/6a0aa256-9195-42cc-8a81-b4a343d5f643#email-schreiben
58,Mäx Textilhandel GmbH,[],Textilwaren,Bernauer Str. 31,16515,berlin,Germany,,(03301) 70 22 17,[],[]
59,Möve Lifestyle für Bad & Bett,[],Textilwaren,Kantstr. 17,10623,berlin,Germany,schließt um 19:00,(030) 31 01 27 49,http://www.moeve.de,[]
60,NKD Deutschland GmbH,[],Textilwaren,Schönhauser Allee 101,10439,berlin,Germany,schließt um 18:00,(089) 20 18 88 40,https://www.nkd.com/,[]
61,NORCROS Textilproduktion,[],Textilwaren,Bismarckstr. 83,10627,berlin,Germany,,0176 57 45 61 86,http://www.norcros.de,[]
62,Nagel Petra,[],Textilwaren,Ernst‑Thälmann‑Str. 31,15366,berlin,Germany,,(03342) 20 19 95,[],[]
63,Nietsch Michael Arnitex Textilagentur,[],Textilwaren,Plönerstr. 7,14193,berlin,Germany,,(030) 8 91 70 48,http://www.michael-nietsch.de,[]
64,Plischke Cordula Textilien,[],Textilwaren,Frankenstr. 2,10781,berlin,Germany,schließt um 18:00,(030) 34 71 78 54,http://www.strand-bad.com,https://www.gelbeseiten.de/gsbiz/5f1a05cc-5a19-4d83-9747-2c6a44c4e9da#email-schreiben
65,Preis-Paradies Inh.Oliver Pieper Einzelhandel für Textilien,[],Textilwaren,Spandauer Str. 184,14612,berlin,Germany,,(03322) 25 37 75,[],[]
66,Prieß Saskia Textilgroßhandel,[],Textilwaren,Mühlweg 15,12587,berlin,Germany,,(030) 4 40 76 48,[],[]
67,Printams Textilhandel GmbH,[],Textilwaren,15834 Rangsdorf 27,2,berlin,Germany,,(033708) 7 00 01,[],[]
68,Prisma Textilvertriebsgesellschaft mbH Textilwaren,[],Textilwaren,Baumschulenstr. 12,12437,berlin,Germany,,(030) 6 31 66 20,[],[]
69,Ragewear GmbH Textilhandel,[],Textilwaren,Heidelberger Str. 65,12435,berlin,Germany,öffnet Montag um 09:00,(030) 29 36 28 68,http://www.ragewear.de,https://www.gelbeseiten.de/gsbiz/d4a31c0c-b812-471e-af17-6beb1bade12e#email-schreiben
70,S & T Schroeder GmbH Textilienhandel,[],Textilwaren,Grellstr. 75,10409,berlin,Germany,öffnet Montag um 06:00,(030) 4 24 40 98,http://www.schroederhandel-online.de,https://www.gelbeseiten.de/gsbiz/a9104af7-de0b-4f66-93e4-a7577c548886#email-schreiben
71,SD Supply and Development GmbH,[],Textilwaren,Greifswalder Str. 33,10405,berlin,Germany,öffnet Montag um 10:00,(030) 49 85 58 05,http://www.merchandising.berlin,https://www.gelbeseiten.de/gsbiz/310f0bee-242e-4d76-802f-df8649016d95#email-schreiben
72,"Samutex Textilwaren, Großhandel",[],Textilwaren,Schrammstr. 3,10715,berlin,Germany,,(030) 70 50 92 88,http://www.samutex.de,https://www.gelbeseiten.de/gsbiz/47a9d54c-d21c-4288-a3c7-87011dad1157#email-schreiben
73,Schiesser Store Potsdam,[],Textilwaren,Brandenburger Str. 23,14467,berlin,Germany,,(0331) 20 12 18 25,[],[]
74,Schnittmuster Berlin Textilwaren,[],Textilwaren,Ringbahnstr. 105‑107,12103,berlin,Germany,,(030) 53 00 73 76,http://www.schnittmuster-berlin.de,https://www.gelbeseiten.de/gsbiz/9c3b6c32-c713-4bd1-9f99-5efc4a364cfb#email-schreiben
75,Schoierer Winfried Textilagentur,[],Textilwaren,Wallotstr. 3,14193,berlin,Germany,,(030) 2 13 11 17,[],[]
76,Schülke Textilwaren Inh. B. Bieseke Textilwareneinzelhandel,[],Textilwaren,Garnstr. 28,14482,berlin,Germany,,(0331) 74 31 40,[],[]
77,Seidenlämmchen Textilien,[],Textilwaren,Bergengruenstr. 37,14129,berlin,Germany,,(030) 8 02 67 41,[],[]
78,Silvertex,[],Textilwaren,Rennbahnallee 110,15366,berlin,Germany,,(03342) 8 06 37,[],[]
79,Stickzentrum Berlin GmbH,[],Stickereien,Trachenbergring 93,12249,berlin,Germany,öffnet Montag um 08:30,(030) 55 57 84-70,http://www.stickzentrum-berlin.de,https://www.gelbeseiten.de/gsbiz/95866633-32f7-4fe3-8f75-3d59070b9bb0#email-schreiben
80,Stoffwechsel Textilhandel GmbH,[],Textilwaren,Eschenstr. 12,15344,berlin,Germany,,(03341) 30 84 44,[],[]
81,Stoffwechsel Textilhandels GmbH,[],Textilwaren,Paul‑Lincke‑Ufer 34,10999,berlin,Germany,,(030) 6 11 11 18,[],[]
82,Strict Distribution GmbH,[],Textilwaren,Mainzer Str. 16,10247,berlin,Germany,,(030) 46 77 63 41,http://www.strict-berlin.de,https://www.gelbeseiten.de/gsbiz/b81c0ad5-b8e8-426c-9282-eba5f8f43851#email-schreiben
83,TK Maxx GmbH & Co. KG Textilwaren,[],Textilwaren,Landsberger Chaussee 17,16356,berlin,Germany,schließt um 21:00,(030) 9 92 87 23-0,http://www.tkmaxx.de/,https://www.gelbeseiten.de/gsbiz/e3d1f587-2dfb-4ca9-913d-4c2bffab8a66#email-schreiben
84,TOP FASHION Konfektionsbügelei GmbH & Co. KG,5.0,Textilwaren,Märkische Allee 15,14979,berlin,Germany,,(033701) 3 27 99-0,http://www.topfashion-online.de,mailto:info@topfashion-online.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
85,Takko Fashion,[],Textilwaren,Allee der Kosmonauten 194,12685,berlin,Germany,schließt um 20:00,(030) 53 02 95 22,https://www.takko.com/de-de/stores/,[]
86,Takko Holding GmbH,[],Textilwaren,Oranienburger Str. 1A,16540,berlin,Germany,schließt um 20:00,(03303) 21 36 54,http://www.takko-fashion.com/de,https://www.gelbeseiten.de/gsbiz/3883ee19-41f1-44bb-a0d3-ec69a96cc8c4#email-schreiben
87,Tall GmbH Einzelhandel mit Damentextilien,[],Textilwaren,Marburger Str. 14,10789,berlin,Germany,schließt um 17:00,(030) 28 03 12 28,http://www.tall-berlin.de,https://www.gelbeseiten.de/gsbiz/e18534d2-dcdd-4b49-9980-4b775c209b73#email-schreiben
88,Tikotex Bekleidung,[],Textilwaren,Schönwalder Str. 102,13585,berlin,Germany,,(030) 60 40 10 48,http://www.tikotex.fashion123.de,https://www.gelbeseiten.de/gsbiz/23207de3-f975-4323-9617-2cfb92dfbe9c#email-schreiben
89,Tiposhop,[],Textilwaren,Danziger Str. 146,10407,berlin,Germany,schließt um 14:00,(030) 36 44 13 18,http://www.tiposhop.de,https://www.gelbeseiten.de/gsbiz/f8bcc7c6-bac0-46c7-b3be-cf3667d38b4c#email-schreiben
90,Toffster Onlineshop,[],Textilwaren,Schmiedegasse 41,14469,berlin,Germany,,0159 02 40 09 20,http://www.toffster.com,https://www.gelbeseiten.de/gsbiz/9ff108d1-429e-4703-aaa1-a602cbed41ea#email-schreiben
91,VS-Mode,[],Textilwaren,Marktstr. 1F,14542,berlin,Germany,schließt um 16:00,(03327) 7 19 02,http://www.vs-mode.de,https://www.gelbeseiten.de/gsbiz/d4dbc48d-c1ca-4ffb-9ad9-716be5a39344#email-schreiben
92,Vendetta.Inc.,[],Bekleidung,Berliner Allee 206,13088,berlin,Germany,öffnet um 13:00,(030) 21 97 03 75,https://vendettainc.de,https://www.gelbeseiten.de/gsbiz/468ec237-7a7f-424c-8d58-3d02ecafef2d#email-schreiben
93,Vécopri Deutschland GmbH,[],Textilwaren,Alter Spandauer Weg 1,14641,berlin,Germany,,(033234) 91 14 88,[],[]
94,"WIBU, Inh. Michael Wiedemann Textilgroßhandel",[],Textilwaren,Summter Str. 219,12623,berlin,Germany,,(030) 5 66 57 82,http://www.wibu-textil.de,https://www.gelbeseiten.de/gsbiz/330dcc08-b042-405d-9bc0-c2e30c704415#email-schreiben
95,Weissenhagen M. Textilhaus,[],Textilwaren,Karl‑Marx‑Str 53b,15537,berlin,Germany,,(03362) 32 22,[],[]
96,Wildermann Gertraud Textilwaren,[],Textilwaren,Reinickendorfer Str. 101,13347,berlin,Germany,,(030) 4 61 71 75,[],[]
97,Wunderlich Sybilla Hundetrainerin,[],Textilwaren,Winkler Str. 21,14193,berlin,Germany,,(030) 89 54 08 16,http://www.hundewunder.de,https://www.gelbeseiten.de/gsbiz/aa87a488-f6a8-4f5e-b520-31ebc55d36bd#email-schreiben
98,Yello Pilot Textilhandels GmbH Textilwaren,[],Textilwaren,Kurfürstendamm 213,10719,berlin,Germany,,(030) 88 00 78 56,[],[]
99,Zeeman,[],Textilwaren,Turmstr. 66,10551,berlin,Germany,schließt um 16:00,(030) 59 00 38 89,https://www.zeeman.com/de/store/berlin-turmstra--e-turmstra--e,[]
100,Zeemann textiel Supers Textilwaren,[],Textilwaren,Seestr. 44A,13353,berlin,Germany,schließt um 14:00,(030) 72 62 78 71,http://www.zeeman.com,[]
101,artrollo Großhandel Textilien,[],Textilwaren,Lynarstr. 31,13585,berlin,Germany,,(030) 64 49 44 40,[],[]
102,cor-fashion GmbH Textilwarengroßhandel,[],Textilwaren,Mariendorfer Damm 1‑ 3,12099,berlin,Germany,,0173 8 95 93 12,[],[]
103,"found objets trouvés, Inh. Rui Santos Heimtextilien",[],Textilwaren,Sredzkistr. 29,10435,berlin,Germany,schließt um 18:00,(030) 44 35 27 13,http://www.foundstores.com,https://www.gelbeseiten.de/gsbiz/15948cef-a8f7-49c4-a743-ae797d6f2f2f#email-schreiben
104,kokada fashion UG (haftungsbeschränkt) Textileinzelhandel,[],Textilwaren,An der Friedensbrücke 5,16225,berlin,Germany,,(03334) 36 63 83,[],[]
105,private textiles g.m.b.h.,[],Textilwaren,Brandenburger Str. 54,14467,berlin,Germany,,(0331) 6 01 21 18,[],[]
106,shirt-side GmbH Textilwaren,[],Textildruck,Grünbergerstr. 54,10245,berlin,Germany,,(030) 25 29 36 63,http://www.shirt-side.de/i,https://www.gelbeseiten.de/gsbiz/51b11b8b-27fb-4697-9fbc-6e9fcada16e2#email-schreiben
107,zero Textilhandel,[],Textilwaren,Grunerstr. 20,10719,berlin,Germany,,(030) 93 62 20 08,[],[]
