,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
92,Cuthome & Cosmétique Holistique Institut,4.2,(9),Beauty salon,Uhlandstraße 67, berlin,Germany,,+49 177 5068957,http://www.cuthome.de/
114,Cuthome & Cosmétique Holistique Institut,4.2,(9),Beauty salon,Uhlandstraße 67, berlin,Germany,,+49 177 5068957,http://www.cuthome.de/
71,D. Machts Lounge - Alexa,4.5,(219),Hair salon,Grunerstraße 20, berlin,Germany,Opens at 10:00 AM ·,+49 30 24047272,https://www.d-machts-group.de/salons.html#LoungeAlexaAmAlexanderplatz
34,Dan Nails,4.1,(65),Nail salon,Leipziger Str. 32, berlin,Germany,,+49 1525 7184567,https://dan-nails.business.site/
146,Daniela Wegener,5.0,(5),Hair salon,Prenzlauer Allee 220, berlin,Germany,,+49 30 42852266,http://www.stilkamm.de/
131,Der Hofsalon UG (haftungsbeschränkt),4.2,(10),Beauty salon,Oranienburger Str. 27, berlin,Germany,,+49 30 25764834,https://derhofsalon.mytreatwell.de/
193,Devid Friseur .De & Team,,,,Meraner Str. 8, berlin,Germany,,,
103,Dodo's Blow Dry Bar,5.0,(14),Beauty salon,Rosenthaler Str. 66, berlin,Germany,,+49 1521 0155639,http://www.dodosblowdrybar.de/
81,EP Nails,3.1,(50),Nail salon,Leipziger Pl. 12, berlin,Germany,,+49 30 20644088,https://de-de.facebook.com/EPNailsLP12/
48,ESHK Friseur Neukölln,4.5,(210),Hair salon,Thomasstraße 11, berlin,Germany,Opens at 10:00 AM ·,+49 30 23919031,https://www.eshk-hair.com/salons/berlin-friseur-neukolln/
70,ESHK Friseur Neukölln,4.5,(210),Hair salon,Thomasstraße 11, berlin,Germany,Opens at 10:00 AM ·,+49 30 23919031,https://www.eshk-hair.com/salons/berlin-friseur-neukolln/
118,Ein Friseur Berlin,4.4,(33),Hairdresser,Schwedter Str. 11, berlin,Germany,,+49 170 9469123,
109,Friseur Gute Schnitte Salon Hair Nickel,4.8,(158),Hair salon,Marienburger Str. 6, berlin,Germany,,+49 30 4427454,https://www.friseur-gute-schnitte.de/
108,Friseur Haargenau & Schnittig,4.5,(28),Hair salon,Torstraße 98, berlin,Germany,,+49 30 2824074,http://test.haargenau-schnittig.de/home/glinkastrasse/
96,Friseur Hue,4.8,(70),Hair salon,Schlesische Str. 10, berlin,Germany,,+49 30 61074069,
94,Friseur Salon Bordel! Mitte,4.7,(39),Hairdresser,Luisenstraße 40, berlin,Germany,,+49 30 28091918,http://www.salon-bordel.de/
93,Friseur Salon Bordel! Schöneberg,4.2,(54),Hair salon,Hohenstaufenstraße 67, berlin,Germany,,+49 30 21912480,https://www.salon-bordel.de/
115,Friseur Salon Bordel! Schöneberg,4.2,(45),Nail salon,Turmstraße 25, berlin,Germany,,+49 30 55873831,http://nany-nails-spa.de/
141,Friseure Team Weißpflog,4.1,(17),Hair salon,Erich-Weinert-Straße 86, berlin,Germany,,+49 30 44719100,http://www.weisspflog.de/Unsere_Standorte.html
127,Friseursalon Kreuzkoelln,4.1,(21),Hair salon,Kottbusser Damm 101, berlin,Germany,,+49 30 55282720,https://www.facebook.com/friseurkreuzkoelln/
29,Friseursalon Zeitraum berlin by Marius Schewe,4.9,(34),Beauty salon,Ackerstraße 21, berlin,Germany,,+49 30 28886347,http://www.zeitraum.berlin/
11,Girly Beauty Lounge,4.9,(81),Nail salon,Mulackstraße 20, berlin,Germany,,+49 30 37475020,https://girlybeautylounge.mytreatwell.de/
37,Glow Hairsalon And Spa,3.9,(31),Hair salon,Niederwallstraße 14, berlin,Germany,,+49 30 20648080,https://glowhairsalonundspa.mytreatwell.de/
6,Glowy Beauty Bar,4.2,(107),Beauty salon,Rochstraße 17, berlin,Germany,,+49 30 25763120,http://www.glowybeautybar.com/
123,Glowy Beauty Bar - Prenzlauer Berg,4.3,(28),Nail salon,Winsstraße 59, berlin,Germany,,+49 1516 8835991,http://www.glowybeautybar.com/
140,Gold & Glory,5.0,(136),Nail salon,Kurfürstenstraße 101-104, berlin,Germany,,+49 1590 1607655,http://goldandglory.berlin/
58,HEIKO MAURER Salon Berlin,4.9,(18),Hair salon,Fasanenstraße 42, berlin,Germany,,+49 30 22454990,http://www.heikomaurer.berlin/
7,HOSHI COUPE Berlin,4.3,(147),Beauty salon,Garnisonkirchplatz 2, berlin,Germany,,+49 30 27891720,http://hoshicoupe.com/
59,Hair & Beauty Lounge Berlin,4.4,(19),Hair salon,Metzer Str. 14, berlin,Germany,,+49 30 75452471,http://www.katrin-haeseler.de/
19,Hair & Make Up Artist Maurice Klostermann,4.7,(111),Beauty salon,Bamberger Str. 8, berlin,Germany,,+49 30 91539038,http://www.stylist-maurice.de/
4,Hair Sweet Hair,4.4,(126),Beauty salon,Fuldastraße 41, berlin,Germany,,+49 30 95602840,http://hairsweethair.de/
78,Hairdresser Ladies Only,4.1,(15),Hair salon,Richard-Wagner-Straße 37, berlin,Germany,,+49 30 64079899,http://www.friseur-ladies-only.de/
25,"Hairdressing & Beauty salon ""Beauty Lounge""",3.7,(25),Beauty salon,Ritterstraße 41, berlin,Germany,,+49 30 6151505,http://www.beautylounge-akademie.de/
144,"Hairtuner, Eileen Geistert",4.3,(47),Hair salon,Am Stadtpark 18, berlin,Germany,,+49 30 67513043,http://hairtuner24.de/
36,Hani Beauty,2.3,(39),Beauty salon,Leipziger Pl. 12, berlin,Germany,,+49 30 80493696,http://www.hanibeauty.de/
82,Hanley's Hair Company,5.0,(20),Hair salon,Joachimstraße 3, berlin,Germany,Opens at 10:00 AM ·,+49 30 2813179,http://www.hanleysberlin.de/
124,Hello Nails and Spa,4.4,(59),Nail salon,Bergmannstraße 91, berlin,Germany,,+49 30 92122725,
30,Herr Hasel,4.8,(31),Beauty salon,Kopenhagener Str. 69, berlin,Germany,,+49 170 1422891,http://www.herrhasel.de/
57,House of Hair,4.5,(42),Hair salon,Alte Schönhauser Str. 29, berlin,Germany,,+49 30 2821212,http://www.houseofhair.de/
9,Innovativer beauty Salon NaTania / Салон красоты,4.2,(12),Beauty salon,Windscheidstraße 1, berlin,Germany,,+49 30 68079111,http://www.innovative-beauty.de/
13,JANA HAIR CLASS,4.1,(60),Hair salon,Berliner Freiheit 2, berlin,Germany,,+49 30 26101920,http://www.janaeichler.de/
161,Jack's Barber Shop,4.8,(312),Hair salon,Sonnenallee 25, berlin,Germany,,+49 1575 8375589,https://www.facebook.com/Jacks-Barber-Shop-178825455498120/
41,Jennifer Nails,4.5,(147),Nail salon,Potsdamer Straße 99, berlin,Germany,,+49 30 25797417,http://jennifer-nails.mytreatwell.de/
99,Jumino Kristrinanto Hair & Beauty,4.8,(34),Beauty salon,Thrasoltstraße 5, berlin,Germany,,+49 30 34359035,https://www.juminokristrinanto.de/
12,K & K Beauty | Your beauty salon in Berlin Mitte,4.6,(20),Beauty salon,Dircksenstraße 42, berlin,Germany,,+49 30 28387890,https://www.k-k-kosmetik.de/
162,KERATIN CORNER,4.6,(66),Make-up artist,"Grainauer Straße 22 ecke, Nachodstraße", berlin,Germany,Opens at 10:00 AM ·,+49 177 3137361,http://www.keratin-corner.de/
104,Katjas Salon,4.9,(38),Hair salon,Glasower Str. 34, berlin,Germany,,+49 30 6264807,
38,Kiezschnitt Kreuzberg,4.5,(88),Beauty salon,Dieffenbachstraße 11, berlin,Germany,,+49 30 66407692,http://www.kiezschnitt.com/
128,Kleinod Salon,4.8,(40),Hair salon,Choriner Str. 34, berlin,Germany,,+49 30 23398939,http://www.kleinod-salon.de/
73,Kleopatra Kosmetik,3.3,(16),Beauty salon,Seestraße 112, berlin,Germany,,+49 30 58879969,http://berlin-kosmetik-studio.de/
153,Kopfschmuck,4.0,(37),Hair salon,Freiheit 7, berlin,Germany,,+49 30 65942002,http://www.caros-kopfschmuck.de/
52,Kosmetik Salon Passion,5.0,(34),Facial spa,Kantstraße 93, berlin,Germany,,+49 30 20987245,http://www.kosmetiksalon-passion.de/
117,Kosmetiksalon Sylvia Schuchardt,5.0,(4),Beauty salon,Leipziger Str. 40, berlin,Germany,,+49 30 2044544,https://www.kosmetik-schuchardt.de/
84,Kosmetikstudio Bella e Sana,4.9,(17),Beauty salon,Fehrbelliner Str. 4, berlin,Germany,,+49 30 64318970,https://bellaesanakosmetikstudio.mytreatwell.de/
98,Kosmetikstudio Berlin Mitte,4.7,(50),Beauty salon,Heinrich-Heine-Straße 62 D, berlin,Germany,,+49 176 56511926,http://kosmetikstudiomitte.berlin/
83,Kristin Scholz Hair And Make Up,4.6,(29),Hair salon,Saarbrücker Str. 6, berlin,Germany,,+49 30 54833443,http://www.kristinscholz.de/
174,KÖ-HAIR GmbH Berlin Haartransplantation,5.0,(5),Hair transplantation clinic,Friedrichstraße 88 Excellent Business Center, berlin,Germany,,+49 30 577023210,http://www.koe-hair.de/
87,Linh Nails,3.8,(108),Nail salon,Memhardstraße 1, berlin,Germany,,+49 30 25787857,
139,Luxury Nails & Spa,3.0,(10),Nail salon,Prenzlauer Allee 46, berlin,Germany,,+49 30 81030730,
148,LyMy Nails - Mall of Berlin LP12,5.0,(1),Nail salon,Leipziger Pl. 12, berlin,Germany,,,https://lymy-nagelstudio.mytreatwell.de/
77,M-Chantal Afro Hairdresser Berlin,4.0,(49),Beauty salon,Warthestraße 73, berlin,Germany,Opens at 11:00 AM ·,+49 1521 4778586,http://m-chantalafro.wix.com/friseur-shop
164,M1 Laser Berlin Mitte,4.9,(109),Laser hair removal service,Hackescher Markt 3, berlin,Germany,Open until 8:30 PM ·,+49 30 921079710,http://www.m1-laser.de/
151,MALU WILZ Beauty & Spa,4.2,(15),Beauty salon,Friedrichstraße 114A, berlin,Germany,,+49 30 28094722,http://www.maluwilz-berlin.de/
156,MDC cosmetic,4.1,(37),Beauty salon,Knaackstraße 26, berlin,Germany,,+49 30 40056339,https://mdc-cosmetic.de/
74,MIVI Nails & Beauty,3.9,(86),Nail salon,Rathausstraße 5, berlin,Germany,,+49 30 28883394,http://mivinails.de/
28,MS DUBAI BEAUTY SALON,4.5,(41),Beauty salon,Lietzenburger Str. 92, berlin,Germany,,+49 176 23297426,https://m.facebook.com/Berlin.MSdubaisalon/
15,MU Berlin,4.8,(74),Hair salon,Linienstraße 154A, berlin,Germany,,+49 30 97005704,http://www.mu-berlin.de/
53,MaisBonita - Waxing Studio,4.7,(76),Beauty salon,Bredowstraße 8A, berlin,Germany,,+49 30 23941418,http://maisbonita-moabit.de/
76,Marie Chateau,4.3,(19),Hair salon,Marienburger Str. 24, berlin,Germany,,+49 30 44354955,http://www.mariechateau.de/
183,Marshall McLuhan Salon,2.7,(3),Visitor center,Leipziger Pl. 17, berlin,Germany,,+49 30 20312393,http://www.mcluhan-salon.de/
50,Maxat hairdresser Berlin-Mitte,4.4,(186),Hair salon,Chausseestraße 17, berlin,Germany,,+49 30 28040810,http://www.maxat-friseur.de/
14,Milan's,4.7,(40),Hair salon,Mommsenstraße 68, berlin,Germany,,+49 30 8816667,http://www.milans.de/
187,Mino's Barbershop,4.7,(57),Barber shop,Apostel-Paulus-Straße 31, berlin,Germany,,,
62,Miu Miu - Nail Salon,2.8,(16),Nail salon,Dircksenstr., berlin,Germany,,+49 30 28449585,http://www.nagelstudio-24.de/naildesign-9751.html
60,Nagelstudio Perfekt,4.6,(32),Nail salon,Max-Beer-Straße 13, berlin,Germany,,+49 30 24047777,https://nagelstudioperfekt.mytreatwell.de/
49,Nail & SPA,2.3,(3),Nail salon,Heinrich-Heine-Straße 62, berlin,Germany,,+49 30 37001344,
101,Nail Factory Antonio,,,Nail salon,Karl-Liebknecht-Str. 13, berlin,Germany,,,
35,Nails & Spa Danvy,4.3,(33),Nail salon,Weinbergsweg 23, berlin,Germany,,+49 174 5422668,https://www.danvybeautynailsandspa.com/
137,Nany nails&spa,3.3,(45),Nail salon,Turmstraße 25, berlin,Germany,,+49 30 55873831,http://nany-nails-spa.de/
138,Netti's Kosmetikatelier - Beauty Salon,5.0,(1),Beauty salon,"2 Gartenstraße, Berlin 10115", berlin,Germany,,+49 30 22908585,https://sleeping-beauty.kontrollfeld.com/
116,Netti's Kosmetikatelier - Beauty Salon,5.0,(1),Beauty salon,Güntzelstraße 63, berlin,Germany,,+49 171 1473629,
158,Nivea Haus Berlin,4.5,"(1,910)",Massage spa,Unter den Linden 28, berlin,Germany,Opens at 10:00 AM ·,+49 30 20456160,https://www.nivea.de/nivea-haus/nivea-haus
72,Noesa Beautycare GmbH,,,Beauty salon,Behrenstraße 29, berlin,Germany,,+49 30 20673090,http://www.noesa.com/
179,Obermaier,4.5,(168),Restaurant,Erkelenzdamm 17, berlin,Germany,,+49 30 61656862,http://www.obermaier-kreuzberg.de/
56,Ohlala Beauty,4.8,(34),Beauty salon,Oranienburger Str. 91, berlin,Germany,,+49 30 45028008,http://www.ohlala-beauty-salon.de/
171,PP Royal Spray Tanning,4.5,(54),Beauty salon,Joachimsthaler Str. 12, berlin,Germany,,+49 30 92257103,http://www.pproyal.de/
106,Paulig Beautylounge,,,Beauty salon,Unter den Linden 16, berlin,Germany,,+49 30 20144610,http://paulig-beautylounge.com/
20,Penthouse111 Manuel Wester,4.3,(33),Beauty salon,Dresdener Str. 111, berlin,Germany,,+49 30 92283189,http://www.penthouse111.de/
189,Raven Barber Shop,5.0,(39),Barber shop,Rochstraße 16, berlin,Germany,,+49 177 4366789,https://raven-berlin.mytreatwell.de/
54,Rose Nails,4.0,(67),Nail salon,Rudi-Dutschke-Straße 18, berlin,Germany,,+49 30 25930670,https://www.facebook.com/rosenailsrudidutschke/
122,Rouge & Blonde,4.5,(28),Hair salon,Choriner Str. 19, berlin,Germany,,+49 30 81798228,http://rouge-and-blond.de/
147,Ruby Nails & Spa Berlin,5.0,(1),Nail salon,Mulackstraße 5, berlin,Germany,,+49 176 77808888,https://ruby-nails-spa.mytreatwell.de/
170,S-thetic Berlin (Derma),4.1,(33),Skin care clinic,Rosenthaler Str. 46/47, berlin,Germany,Open until 9:00 PM ·,+49 30 28096272,https://s-thetic.de/de/berlin
97,Salon Amaya,4.1,(16),Beauty salon,Transvaalstraße 1, berlin,Germany,,+49 30 55216699,
100,Salon Assil,4.4,(60),Hair salon,Rostocker Str. 1a, berlin,Germany,,+49 30 24321717,
102,Salon Eisfeld,4.9,(28),Hair salon,Oppelner Str. 9, berlin,Germany,,+49 162 4206695,https://salon-eisfeld.de/
143,Salon Gallery,,,Beauty salon,Schillerpromenade 2, berlin,Germany,,+49 1573 6627651,https://www.salongallery.berlin/contact/
182,Salon Halit Art,5.0,(5),Art gallery,Kreuzbergstraße 72, berlin,Germany,,+49 176 23768215,http://halit-art.de/
85,Salon Hamid Nosrati,4.2,(42),Hair salon,Kantstraße 69, berlin,Germany,,+49 30 82075902,https://salon-hamid-nosrati.business.site/
16,Salon NEW STYLE,4.4,(86),Beauty salon,Schönhauser Allee 115, berlin,Germany,,+49 30 407503,
105,Salon Relax 63,4.7,(7),Hair salon,Alt-Moabit 86, berlin,Germany,,,
136,Salon Schneider,4.6,(9),Hair salon,Torstraße 199, berlin,Germany,,+49 30 21973630,http://www.friseursalonschneider.de/
185,Salon Stuttgart,,,Art gallery,Stuttgarter Str. 45, berlin,Germany,,+49 1573 5360673,http://salonstuttgart.com/
64,"Salon Valentina, IPL, Kosmetikstudio Berlin, Friseur Berlin",4.5,(8),Hair salon,Wilhelmstraße 92, berlin,Germany,,+49 30 20619710,http://salon-valentina.com/
86,Salon Yasemin,4.9,(56),Hair salon,Maxstraße 6, berlin,Germany,,+49 30 4619481,
135,Salon by Göki - Gökmen Akgüner,4.5,(39),Hair salon,Beusselstraße 63, berlin,Germany,Open until 7:00 PM ·,+49 30 3915588,http://www.xn--salon-by-gki-ejb.de/
69,Sassoon Salon,4.4,(83),Hair salon,Schlüterstraße 38, berlin,Germany,,+49 30 8845000,http://www.sassoon-salon.de/berlin
47,Sassoon Salon,4.4,(83),Hair salon,Schlüterstraße 38, berlin,Germany,,+49 30 8845000,http://www.sassoon-salon.de/berlin
154,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwiCu9Sh2JnpAhXRu9UKHaIsB9IYABABGgJ3cw&sig=AOD64_1obCua6sgl2GT33XyuHrteYS7JMg&adurl&q&ctype=99
176,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwjTurur2JnpAhXJu9UKHR_-BsIYABAAGgJ3cw&sig=AOD64_3P6KXSFeIEb2y03Y06e7K8v97z7Q&adurl&q&ctype=99
22,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwio0vXg15npAhWT91EKHe9CC28YABAAGgJ3cw&sig=AOD64_1m6OngE8l72tnLMPZRKmCbcRnDpg&adurl&q&ctype=99
0,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwj57PvW15npAhXJiNUKHYXhDYcYABABGgJ3cw&sig=AOD64_3Y7-niHB9owiZfD5VaKGzlYzmJ3w&adurl&q&ctype=99
132,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwiV2aWK2JnpAhXUhdUKHYF5A08YABABGgJ3cw&sig=AOD64_0y7qL5PiN4ibg5tkFmVnLqqTwF3w&adurl&q&ctype=99
44,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwj6rJnr15npAhUJiNUKHV0qDFIYABAAGgJ3cw&sig=AOD64_1IAQsAVvq0G9-tBkDjE10G4Dxkdg&adurl&q&ctype=99
66,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwj6rJnr15npAhUJiNUKHV0qDFIYABAAGgJ3cw&sig=AOD64_1IAQsAVvq0G9-tBkDjE10G4Dxkdg&adurl&q&ctype=99
88,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwjUhbCA2JnpAhXU-FEKHcakABcYABABGgJ3cw&sig=AOD64_2BiaK0k8hlJhpqeC7IRY3QyJxxzA&adurl&q&ctype=99
110,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35, berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwjUhbCA2JnpAhXU-FEKHcakABcYABABGgJ3cw&sig=AOD64_2BiaK0k8hlJhpqeC7IRY3QyJxxzA&adurl&q&ctype=99
160,Selected Olaplex Salon,5.0,(1),Hair salon,Brunnenstraße 41, berlin,Germany,,,
169,"Senzera - Dauerhafte Haarentfernung, Waxing & Sugaring in Berlin-Mitte",4.2,(76),Hair removal service,Monbijoupl. 3, berlin,Germany,Opens at 11:00 AM ·,+49 30 97894344,https://senzera.com/studios-preise/berlin-mitte/?utm_source=local&utm_medium=berlin_mitte&utm_campaign=mybusiness
68,Shift hairdressers Berlin,4.6,(56),Hair salon,Rosa-Luxemburg-Straße 3, berlin,Germany,Open until 6:00 PM ·,+49 30 28099777,http://www.shiftberlin.de/
46,Shift hairdressers Berlin,4.6,(56),Hair salon,Rosa-Luxemburg-Straße 3, berlin,Germany,Open until 6:00 PM ·,+49 30 28099777,http://www.shiftberlin.de/
40,Silk Emotions Berlin hairdresser and cosmetics,4.3,(55),Beauty salon,Weydemeyerstraße 1, berlin,Germany,,+49 30 2414787,http://www.silk-emotions.de/
190,Sprachsalon Berlin,4.7,(39),Language school,Weichselstraße 38, berlin,Germany,Opens at 10:00 AM ·,+49 30 62732911,https://sprachsalon-berlin.de/
39,Studio 358 - Nails Berlin,3.9,(88),Nail salon,Auguststraße 35, berlin,Germany,,+49 30 54773039,http://studio358.berlin/
175,Sultan Hamam Berlin,4.3,(446),Spa,Bülowstraße 56-57, berlin,Germany,,+49 30 21753375,http://www.sultanhamamberlin.de/
129,Sysi Shellac Berlin Vegan & Made in Germany,5.0,(2),Nail salon,Voigtstraße 33, berlin,Germany,,+49 176 63607680,http://www.sysicosmetics.com/
149,Sän Sabai,,,Beauty salon,Möckernstraße 46, berlin,Germany,,,
180,TEE.SALON.IKI,5.0,(69),Tea house,Böckhstraße 50, berlin,Germany,,+49 30 54869969,http://www.teesaloniki.de/
31,THE BROWERY (KaDeWe),4.3,(30),Beauty salon,Tauentzienstraße 21 – 24, berlin,Germany,,+49 30 23623882,http://www.browery.com/
119,THE CURE - NAIL STUDIO,4.0,(38),Nail salon,Torstraße 49, berlin,Germany,,+49 30 67951569,https://thecure.mytreatwell.de/
21,TONI&GUY Berlin Knesebeckstraße,4.1,(60),Hair salon,Knesebeckstraße 35, berlin,Germany,,+49 30 88912745,http://toniandguy.de/
61,Thu Nails,4.6,(47),Nail salon,Brüsseler Str. 50, berlin,Germany,,+49 30 55277999,https://thu-nails-beautiful.mytreatwell.de/
121,Tua Hoang Nguyen,3.5,(2),Nail salon,Tunnel Alexanderpl. 7, berlin,Germany,,+49 30 28449585,http://www.nagelstudio-24.de/naildesign-9751.html
63,USA Nails,4.1,(53),Nail salon,Kottbusser Damm 81, berlin,Germany,,+49 30 61625227,http://usa-nails.com/
18,VIKTOR LESKE MITTE,4.6,(211),Hair salon,Joachimstraße 8, berlin,Germany,Opens at 11:00 AM ·,+49 30 27908487,https://www.instagram.com/viktor_leske_berlin/
113,VITADERMA Berlin Mitte,4.3,(4),Beauty salon,Am Zirkus 5, berlin,Germany,,+49 30 23948404,http://vita-derma.de/
91,VITADERMA Berlin Mitte,4.3,(4),Beauty salon,Am Zirkus 5, berlin,Germany,,+49 30 23948404,http://vita-derma.de/
75,Venus Nails,4.7,(39),Nail salon,Kottbusser Damm 7, berlin,Germany,,+49 1522 4059466,https://website-2884303951237910896134-nailsalon.business.site/
